#version,serial,flight,call,time,rssi,lqi,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 2098, 12,KD9LJW,    -1.08, -93,   5, 3,   boost,    3.59,  98235.00,  260.45,   11.18,   -0.12, 28.4, 3.87, 3.90, 3.88, 1, 1,  9,  41.4877342, -89.5062284,   218.0, 2021, 10, 30, 20,  7, 50,        0,        0,   0,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0, 19, 32,  0,  0, 31, 23,  0,  0,  0,  0, 32, 28
6, 2098, 12,KD9LJW,    -1.06, -93,   8, 3,   boost,    3.59,  98235.00,  260.45,   11.18,   -0.12, 28.4, 3.87, 3.90, 3.88, 1, 1,  9,  41.4877342, -89.5062284,   218.0, 2021, 10, 30, 20,  7, 50,        0,        0,   0,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0, 19, 32,  0,  0, 31, 23,  0,  0,  0,  0, 32, 28
6, 2098, 12,KD9LJW,    -1.06, -93,   5, 3,   boost,    3.59,  98235.00,  260.45,   11.18,   -0.12, 28.4, 3.87, 3.90, 3.88, 1, 1,  9,  41.4877342, -89.5062284,   218.0, 2021, 10, 30, 20,  7, 50,        0,        0,   0,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0, 19, 32,  0,  0, 31, 23,  0,  0,  0,  0, 32, 28
6, 2098, 12,KD9LJW,     0.00, -90,   5, 3,   boost,   23.83,  98218.00,  261.91,   12.63,    1.19, 28.3, 3.86, 3.91, 3.89, 1, 1,  9,  41.4877342, -89.5062284,   218.0, 2021, 10, 30, 20,  7, 50,        0,        0,   0,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0, 19, 32,  0,  0, 31, 23,  0,  0,  0,  0, 32, 28
6, 2098, 12,KD9LJW,     0.01, -87,   5, 3,   boost,   23.83,  98218.00,  261.91,   12.63,    1.19, 28.3, 3.86, 3.91, 3.89, 1, 1,  9,  41.4877342, -89.5062284,   218.0, 2021, 10, 30, 20,  7, 50,        0,        0,   0,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0, 19, 32,  0,  0, 31, 23,  0,  0,  0,  0, 32, 28
6, 2098, 12,KD9LJW,     0.10, -82,   5, 3,   boost,   39.20,  98109.00,  271.21,   21.94,    4.10, 28.4, 3.86, 3.89, 3.88, 1, 1,  9,  41.4877342, -89.5062284,   218.0, 2021, 10, 30, 20,  7, 50,        0,        0,   0,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0, 19, 32,  0,  0, 31, 23,  0,  0,  0,  0, 32, 28
6, 2098, 12,KD9LJW,     0.12, -80,  13, 3,   boost,   39.20,  98109.00,  271.21,   21.94,    4.10, 28.4, 3.86, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 25,  0,  0,  0,  0,  0,  0,  0,  0, 19, 32,  0,  0, 31, 23,  0,  0,  0,  0, 32, 28
6, 2098, 12,KD9LJW,     0.20, -76,   9, 3,   boost,   56.20,  98153.00,  267.46,   18.18,    8.21, 28.4, 3.86, 3.90, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.20, -76,   5, 3,   boost,   56.20,  98153.00,  267.46,   18.18,    8.21, 28.4, 3.86, 3.90, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.30, -75,   7, 3,   boost,   70.75,  98122.00,  270.10,   20.83,   13.61, 28.4, 3.87, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.40, -73,   6, 3,   boost,   84.28,  98112.00,  270.96,   21.68,   20.41, 28.4, 3.86, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.40, -72,   4, 3,   boost,   84.28,  98112.00,  270.96,   21.68,   20.41, 28.4, 3.86, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.50, -70,   3, 3,   boost,  100.65,  98123.00,  270.02,   20.74,   28.69, 28.4, 3.86, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.60, -70,   5, 3,   boost,  118.21,  98160.00,  266.86,   17.58,   38.52, 28.4, 3.86, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.70, -73,   5, 3,   boost,  136.07,  98179.00,  265.23,   15.96,   49.95, 28.3, 3.86, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.80, -77,   6, 3,   boost,  152.70,  98343.00,  251.24,    1.96,   62.99, 28.3, 3.86, 3.89, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     0.90, -81,   6, 3,   boost,  166.53,  98407.00,  245.78,   -3.50,   79.79, 28.4, 3.86, 3.89, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.00, -78,   6, 3,   boost,  176.49,  98419.00,  244.76,   -4.52,   97.30, 28.3, 3.85, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.02, -77,   5, 3,   boost,  176.49,  98419.00,  244.76,   -4.52,   97.30, 28.3, 3.85, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.10, -72,   7, 3,   boost,  182.33,  98618.00,  227.81,  -21.46,  115.42, 28.3, 3.87, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.20, -71,   5, 3,   boost,  184.40,  98828.00,  209.96,  -39.32,  134.17, 28.3, 3.85, 3.90, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.30, -74,   6, 3,   boost,  183.25,  98705.00,  220.41,  -28.86,  153.13, 28.3, 3.86, 3.90, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.40, -76,   5, 3,   boost,  179.38,  98494.00,  238.37,  -10.91,  171.93, 28.3, 3.85, 3.90, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.50, -75,   4, 3,   boost,  172.99,  98347.00,  250.90,    1.62,  190.29, 28.3, 3.86, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.60, -75,   6, 4,    fast,  164.41,  97740.00,  302.79,   53.51,  207.93, 28.3, 3.87, 3.89, 3.88, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.70, -76,   7, 4,    fast,  153.90,  97317.00,  339.11,   89.83,  224.63, 28.3, 3.86, 3.89, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
6, 2098, 12,KD9LJW,     1.80, -75,   6, 4,    fast,  141.63,  96851.00,  379.27,  129.99,  240.25, 28.3, 3.85, 3.90, 3.87, 1, 1,  9,  41.4877310, -89.5062302,   218.0, 2021, 10, 30, 20,  8,  1,        0,        0, 203,   0,   1.7,   0.8,   1.5, 24,  0,  0,  0,  0,  0,  0,  0,  0, 36,  0, 24,  0,  0,  0,  0,  0,  0,  0,  0, 20, 33,  0,  0, 32, 22,  0,  0,  0,  0, 31, 28
