Time,LSM_IMU_mx,LSM_IMU_my,LSM_IMU_mz,LSM_IMU_gx,LSM_IMU_gy,LSM_IMU_gz,LSM_IMU_ax,LSM_IMU_ay,LSM_IMU_az,gps_lat,gps_long,gps_alt,STE_ALT,STE_VEL,STE_ACC,STE_APO,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,TEMP,barometer_alt,sign,FSM_state,RSSI,Voltage,frequency,flap_extension
2022-5-7--11-24-56-316,-0.47,1.1,-0.45,0.18,1.08,-1.08,0.04,-0.04,1.04,0,0,0,0,0,0,0,0.11,0.1,1.07,21.88,206.13,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-24-56-745,-0.52,1.05,-0.45,0.13,1.29,-1.91,0.04,-0.07,1.03,0,0,0,0,0,0,0,0.11,0.07,1.06,21.88,205.78,NO SIGN,1,-45,7.73,434,0
2022-5-7--11-24-57-175,-0.47,1.11,-0.45,0.09,0.84,-1.1,0.02,-0.06,1.04,0,0,0,0,0,0,0,0.11,0.09,1.07,21.88,206.05,NO SIGN,1,-44,7.75,434,0
2022-5-7--11-24-57-604,-0.47,1.06,-0.41,0.26,1.42,-1.26,0.04,-0.05,1.03,0,0,0,0,0,0,0,0.1,0.08,1.07,21.88,205.87,NO SIGN,1,-43,7.76,434,0
2022-5-7--11-24-58-34,-0.48,1.05,-0.41,0.06,1.03,-1.43,0.03,-0.04,1.03,0,0,0,0,0,0,0,0.11,0.08,1.07,21.88,205.87,NO SIGN,1,-45,7.78,434,0
2022-5-7--11-24-58-464,-0.51,1.06,-0.45,0.13,1.05,-1.09,0.02,-0.06,1.04,0,0,0,0,0,0,0,0.11,0.09,1.07,21.88,205.78,NO SIGN,1,-48,7.72,434,0
2022-5-7--11-24-58-894,-0.52,1.05,-0.45,0.31,-0.09,-0.87,0.04,-0.07,1.05,0,0,0,0,0,0,0,0.1,0.09,1.07,21.88,205.78,NO SIGN,1,-46,7.77,434,0
2022-5-7--11-24-59-324,-0.47,1.05,-0.42,0.31,1.15,-1.55,0.04,-0.06,1.05,0,0,0,0,0,0,0,0.11,0.09,1.07,21.88,206.13,NO SIGN,1,-45,7.73,434,0
2022-5-7--11-24-59-753,-0.51,1.05,-0.45,0.85,1.08,-1.46,0.03,-0.07,1.05,0,0,0,0,0,0,0,0.11,0.1,1.06,21.88,206.31,NO SIGN,1,-46,7.77,434,0
2022-5-7--11-25-00-183,-0.48,1.05,-0.42,0.21,0.48,-1.5,0.02,-0.04,1.03,0,0,0,0,0,0,0,0.12,0.08,1.07,21.89,206.49,NO SIGN,1,-47,7.77,434,0
2022-5-7--11-25-00-613,-0.48,1.05,-0.41,0.41,0.92,-0.92,0.02,-0.08,1.04,0,0,0,0,0,0,0,0.11,0.09,1.07,21.88,206.57,NO SIGN,1,-47,7.73,434,0
2022-5-7--11-25-01-43,-0.48,1.05,-0.42,0.31,2,-0.54,0.04,-0.06,1.04,0,0,0,0,0,0,0,0.1,0.08,1.07,21.88,206.83,NO SIGN,1,-47,7.73,434,0
2022-5-7--11-25-01-472,-0.51,1.06,-0.45,0.44,1.15,-1.08,0.03,-0.06,1.03,0,0,0,0,0,0,0,0.1,0.09,1.07,21.89,206.49,NO SIGN,1,-45,7.76,434,0
2022-5-7--11-25-01-902,-0.48,1.1,-0.45,0.38,0.74,-1.29,0.04,-0.07,1.04,0,0,0,0,0,0,0,0.11,0.09,1.07,21.89,205.7,NO SIGN,1,-44,6.89,434,0
2022-5-7--11-25-02-332,-0.52,1.06,-0.47,0.29,1.01,-1.94,0.02,-0.07,1.03,0,0,0,0,0,0,0,0.11,0.09,1.07,21.89,206.31,NO SIGN,1,-44,7.75,434,0
2022-5-7--11-25-02-761,-0.48,1.07,-0.44,0.55,0.76,-1,0.03,-0.05,1.03,0,0,0,0,0,0,0,0.11,0.08,1.07,21.89,207.1,NO SIGN,1,-44,7.73,434,0
2022-5-7--11-25-03-191,-0.48,1.06,-0.42,0.43,1.56,-1.29,0.04,-0.06,1.03,0,0,0,0,0,0,0,0.11,0.07,1.07,21.89,206.4,NO SIGN,1,-44,7.76,434,0
2022-5-7--11-25-03-621,-0.49,1.08,-0.45,0.17,1.06,-0.99,0,-0.1,1.04,0,0,0,0,0,0,0,0.13,0.11,1.07,21.89,206.84,NO SIGN,1,-44,7.74,434,0
2022-5-7--11-25-04-50,-0.53,1.15,-0.52,0.29,0.94,-0.81,0.04,-0.06,1.03,0,0,0,0,0,0,0,0.11,0.07,1.07,21.89,206.23,NO SIGN,1,-43,7.72,434,0
2022-5-7--11-25-04-480,-0.59,1.16,-0.56,0.31,1.25,-1.96,0.03,-0.05,1.03,0,0,0,0,0,0,0,0.11,0.09,1.07,21.89,206.49,NO SIGN,1,-44,7.76,434,0
2022-5-7--11-25-04-911,-0.57,1.21,-0.61,0.51,0.69,-1.43,0.03,-0.03,1.04,0,0,0,0,0,0,0,0.09,0.06,1.07,21.89,206.05,NO SIGN,1,-44,7.73,434,0
2022-5-7--11-25-05-340,-0.53,1.16,-0.51,-0.53,1.6,-1.4,0.03,-0.06,1.04,0,0,0,0,0,0,0,0.12,0.1,1.07,21.9,206.15,NO SIGN,1,-44,7.77,434,0
2022-5-7--11-25-05-769,-0.53,1.23,-0.56,0.17,0.51,-1.01,0.02,-0.07,1.04,0,0,0,0,0,0,0,0.13,0.08,1.07,21.9,206.06,NO SIGN,1,-44,7.77,434,0
2022-5-7--11-25-06-199,-0.58,1.21,-0.59,0.25,0.86,-1.7,0.04,-0.09,1.05,0,0,0,0,0,0,0,0.13,0.09,1.07,21.9,206.06,NO SIGN,1,-44,7.77,434,0
2022-5-7--11-25-06-629,-0.56,1.2,-0.55,0.68,0.34,-1.15,0.04,-0.06,1.04,0,0,0,0,0,0,0,0.11,0.09,1.07,21.9,206.15,NO SIGN,1,-44,7.73,434,0
2022-5-7--11-25-07-59,-0.56,1.18,-0.56,0.4,0.97,-0.56,0.02,-0.06,1.03,0,0,0,0,0,0,0,0.12,0.09,1.07,21.9,206.15,NO SIGN,1,-44,7.74,434,0
2022-5-7--11-25-07-489,-0.56,1.23,-0.65,0.9,1.18,-1.33,0.01,-0.07,1.02,0,0,0,0,0,0,0,0.11,0.09,1.07,21.9,206.58,NO SIGN,1,-44,7.72,434,0
2022-5-7--11-25-07-918,-0.6,1.19,-0.66,0.08,0.86,-1.19,0.03,-0.06,1.04,0,0,0,0,0,0,0,0.12,0.09,1.07,21.9,206.5,NO SIGN,1,-44,7.72,434,0
2022-5-7--11-25-08-348,-0.55,1.19,-0.63,-0.02,1.59,-1.2,0.03,-0.08,1.04,0,0,0,0,0,0,0,0.12,0.09,1.07,21.9,206.23,NO SIGN,1,-44,7.75,434,0
2022-5-7--11-25-08-778,-0.55,1.19,-0.63,0.06,1.09,-1.27,0.04,-0.05,1.04,0,0,0,0,0,0,0,0.11,0.08,1.07,21.9,206.23,NO SIGN,1,-44,6.89,434,0
2022-5-7--11-25-09-207,-0.57,1.16,-0.6,0.21,1.08,-1.16,0.03,-0.07,1.04,0,0,0,0,0,0,0,0.12,0.1,1.07,21.9,206.15,NO SIGN,1,-44,7.74,434,0
2022-5-7--11-25-09-637,-0.56,1.15,-0.59,1.38,0.46,-1.91,0.04,-0.04,1.04,0,0,0,0,0,0,0,0.11,0.08,1.07,21.91,205.89,NO SIGN,1,-44,7.72,434,0
2022-5-7--11-25-10-67,-0.55,1.17,-0.6,0.4,0.87,-1.74,0.04,-0.06,1.05,0,0,0,0,0,0,0,0.11,0.07,1.07,21.91,205.89,NO SIGN,1,-44,7.75,434,0
2022-5-7--11-25-10-497,-0.55,1.19,-0.62,0.11,1.37,-1.07,0.01,-0.05,1.03,34.48,-58.64,6813329,0,0,0,0,0.11,0.09,1.07,21.91,205.98,NO SIGN,1,-43,7.75,434,0
