#version,serial,flight,call,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,connected,locked,nsat,latitude,longitude,altitude,year,month,day,hour,minute,second,pad_dist,pad_range,pad_az,pad_el,pdop,hdop,vdop,sat01,sat02,sat03,sat04,sat05,sat06,sat07,sat08,sat09,sat10,sat11,sat12,sat13,sat14,sat15,sat16,sat17,sat18,sat19,sat20,sat21,sat22,sat23,sat24,sat25,sat26,sat27,sat28,sat29,sat30,sat31,sat32
6, 2098, 14,KD9TQD,    -0.30, 3,   boost,   -0.00,  86405.00, 1323.36,   -0.09,   30.69, 42.1, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.29, 3,   boost,   -0.00,  86398.00, 1324.02,    0.57,   31.32, 42.2, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.28, 3,   boost,   -0.00,  86385.00, 1325.25,    1.80,   31.97, 42.2, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.27, 3,   boost,   -0.00,  86405.00, 1323.36,   -0.09,   32.64, 42.1, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.26, 3,   boost,   -0.00,  86399.00, 1323.93,    0.47,   33.31, 42.2, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.25, 3,   boost,   -0.00,  86412.00, 1322.70,   -0.76,   34.01, 42.2, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.24, 3,   boost,   -0.00,  86408.00, 1323.08,   -0.38,   34.72, 42.1, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.23, 3,   boost,   -0.00,  86416.00, 1322.32,   -1.14,   35.45, 42.2, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.22, 3,   boost,   -0.00,  86400.00, 1323.83,    0.38,   36.19, 42.2, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.21, 3,   boost,   -0.00,  86398.00, 1324.02,    0.57,   36.94, 42.1, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.20, 3,   boost,   -0.00,  86413.00, 1322.60,   -0.85,   37.72, 42.2, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
6, 2098, 14,KD9TQD,    -0.19, 3,   boost,   -0.00,  86410.00, 1322.89,   -0.57,   38.51, 42.2, 3.98, 4.01, 3.98, 1, 1, 12,  32.9396778,-106.9114597,  1392.0, 2022,  6, 23, 19, 57, 42,        0,        0,   0,   0,   1.6,2147483647.0,2147483647.0,  0, 30,  0,  0, 27,  0,  0,  0,  0,  0, 31, 27, 30,  0, 26,  0,  0, 32,  0, 25,  0,  0, 28,  0, 29, 25,  0,  0, 33,  0,  0,  0
