timestamp_ms,ax,ay,az,gx,gy,gz,mx,my,mz,latitude,longitude,altitude,satellite_count,position_lock,temperature,pressure,barometer_altitude,highg_ax,highg_ay,highg_az,rocket_state,l1_extension,l2_extension,state_est_x,state_est_vx,state_est_ax,state_est_apo,battery_voltage
4935750,-0.011468,0.061915,1.02693,1.19875,2.28375,-3.31625,-0.53634,1.43178,-1.0556,32.9397,-106.911,1365.44,18,1,41.12,863.39,1470.75,0.03125,0.109375,1.04102,1,0,0,1445.38,6.06833,242.232,0,7.98574
4935760,-0.011468,0.061915,1.02693,1.19875,2.28375,-3.31625,-0.53634,1.43178,-1.0556,32.9397,-106.911,1365.44,18,1,41.12,863.39,1470.75,0.03125,0.109375,1.04102,1,0,0,1445.38,6.06833,242.232,0,7.98574
4935770,-0.010675,0.066185,1.00863,1.75,2.68625,-3.5525,-0.53256,1.4308,-1.0542,32.9397,-106.911,1365.44,18,1,41.12,863.39,1470.75,0.0292969,0.113281,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.00508
4935780,-0.010675,0.066185,1.00863,1.75,2.68625,-3.5525,-0.53256,1.4308,-1.0542,32.9397,-106.911,1365.44,18,1,41.12,863.39,1470.75,0.0292969,0.113281,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.00508
4935790,-0.002806,0.027267,1.03377,1.75875,2.24875,-3.6925,-0.5327,1.43752,-1.05308,32.9397,-106.911,1365.44,18,1,41.13,863.39,1470.79,0.0253906,0.113281,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935800,-0.002806,0.027267,1.03377,1.75875,2.24875,-3.6925,-0.5327,1.43752,-1.05308,32.9397,-106.911,1365.44,18,1,41.13,863.39,1470.79,0.0253906,0.113281,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935810,-0.002806,0.027267,1.03377,1.75875,2.24875,-3.6925,-0.5327,1.43752,-1.05308,32.9397,-106.911,1365.44,18,1,41.13,863.39,1470.79,0.0253906,0.113281,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935820,-0.009211,0.065209,1.01345,1.6275,2.2225,-3.21125,-0.53214,1.4315,-1.0479,32.9397,-106.911,1365.44,18,1,41.13,863.41,1470.58,0.0195312,0.111328,1.04297,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935830,-0.009211,0.065209,1.01345,1.6275,2.2225,-3.21125,-0.53214,1.4315,-1.0479,32.9397,-106.911,1365.44,18,1,41.13,863.41,1470.58,0.0195312,0.111328,1.04297,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935840,-0.009211,0.065209,1.01345,1.6275,2.2225,-3.21125,-0.53214,1.4315,-1.0479,32.9397,-106.911,1365.44,18,1,41.13,863.41,1470.58,0.0195312,0.111328,1.04297,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935850,-0.006588,0.06039,1.01303,1.47875,2.275,-3.43875,-0.53046,1.43178,-1.0598,32.9397,-106.911,1365.44,18,1,41.08,863.4,1470.45,0.0195312,0.111328,1.04297,1,0,0,1445.38,6.06833,242.232,0,8.02441
4935860,-0.006588,0.06039,1.01303,1.47875,2.275,-3.43875,-0.53046,1.43178,-1.0598,32.9397,-106.911,1365.44,18,1,41.08,863.4,1470.45,0.0195312,0.111328,1.04297,1,0,0,1445.38,6.06833,242.232,0,8.02441
4935870,-0.006588,0.06039,1.01303,1.47875,2.275,-3.43875,-0.53046,1.43178,-1.0598,32.9397,-106.911,1365.44,18,1,41.08,863.4,1470.45,0.0195312,0.111328,1.04297,1,0,0,1445.38,6.06833,242.232,0,8.02441
4935880,-0.006588,0.06039,1.01303,1.47875,2.275,-3.43875,-0.53046,1.43178,-1.0598,32.9397,-106.911,1365.44,18,1,41.08,863.4,1470.45,0.0195312,0.111328,1.04297,1,0,0,1445.38,6.06833,242.232,0,8.02441
4935890,-0.006588,0.06039,1.01303,1.47875,2.275,-3.43875,-0.53046,1.43178,-1.0598,32.9397,-106.911,1365.44,18,1,41.08,863.4,1470.45,0.0234375,0.109375,1.04102,1,0,0,1445.38,6.06833,242.232,0,8.02441
4935900,-0.006588,0.06039,1.01303,1.47875,2.275,-3.43875,-0.53046,1.43178,-1.0598,32.9397,-106.911,1365.44,18,1,41.08,863.4,1470.45,0.0234375,0.109375,1.04102,1,0,0,1445.38,6.06833,242.232,0,8.02441
4935910,-0.006649,0.060451,1.01638,1.74125,2.10875,-3.4475,-0.53102,1.4315,-1.06792,32.9397,-106.911,1365.39,18,1,41.08,863.41,1470.35,0.0273438,0.109375,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935920,-0.006649,0.060451,1.01638,1.74125,2.10875,-3.4475,-0.53102,1.4315,-1.06792,32.9397,-106.911,1365.39,18,1,41.08,863.41,1470.35,0.0273438,0.109375,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935930,-0.006649,0.060451,1.01638,1.74125,2.10875,-3.4475,-0.53102,1.4315,-1.06792,32.9397,-106.911,1365.39,18,1,41.08,863.41,1470.35,0.0273438,0.109375,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.01475
4935940,-0.005856,0.086254,0.998875,1.65375,2.2925,-3.54375,-0.53116,1.4322,-1.06918,32.9397,-106.911,1365.39,18,1,41.09,863.44,1470.07,0.0273438,0.115234,1.03711,1,0,0,1445.38,6.06833,242.232,0,8.00508
4935950,-0.005856,0.086254,0.998875,1.65375,2.2925,-3.54375,-0.53116,1.4322,-1.06918,32.9397,-106.911,1365.39,18,1,41.09,863.44,1470.07,0.0273438,0.115234,1.03711,1,0,0,1445.38,6.06833,242.232,0,8.00508
4935960,-0.020008,0.037088,1.03743,1.8025,2.2575,-3.17625,-0.52094,1.43318,-1.07478,32.9397,-106.911,1365.39,18,1,41.09,863.4,1470.5,0.0195312,0.113281,1.03711,1,0,0,1445.38,6.06833,242.232,0,8.00508
4935970,-0.020008,0.037088,1.03743,1.8025,2.2575,-3.17625,-0.52094,1.43318,-1.07478,32.9397,-106.911,1365.39,18,1,41.09,863.4,1470.5,0.0195312,0.113281,1.03711,1,0,0,1445.38,6.06833,242.232,0,8.00508
4935980,-0.020008,0.037088,1.03743,1.8025,2.2575,-3.17625,-0.52094,1.43318,-1.07478,32.9397,-106.911,1365.39,18,1,41.09,863.4,1470.5,0.0195312,0.113281,1.03711,1,0,0,1445.38,6.06833,242.232,0,8.00508
4935990,-0.00366,0.055998,1.0198,1.645,2.26625,-3.22875,-0.5306,1.43402,-1.06862,32.9397,-106.911,1365.39,18,1,41.1,863.41,1470.44,0.0195312,0.115234,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.03408
4936000,-0.00366,0.055998,1.0198,1.645,2.26625,-3.22875,-0.5306,1.43402,-1.06862,32.9397,-106.911,1365.39,18,1,41.1,863.41,1470.44,0.0195312,0.115234,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.03408
4936010,-0.00366,0.055998,1.0198,1.645,2.26625,-3.22875,-0.5306,1.43402,-1.06862,32.9397,-106.911,1365.39,18,1,41.1,863.41,1470.44,0.0195312,0.115234,1.03906,1,0,0,1445.38,6.06833,242.232,0,8.03408
4936020,-0.022082,0.070333,1.72813,1.6275,2.09125,-5.4425,-0.52696,1.43136,-1.07394,32.9397,-106.911,1365.39,18,1,41.1,863.41,1470.44,0.0273438,0.111328,1.06836,1,0,0,1445.38,6.06833,242.232,0,8.03408
4936030,-0.022082,0.070333,1.72813,1.6275,2.09125,-5.4425,-0.52696,1.43136,-1.07394,32.9397,-106.911,1365.39,18,1,41.1,863.41,1470.44,0.0273438,0.111328,1.06836,1,0,0,1445.38,6.06833,242.232,0,8.03408
4936040,1.9986,0.421205,1.9986,10.185,-13.9213,-12.9762,-0.532,1.42212,-1.029,32.9397,-106.911,1365.39,18,1,41.11,864.2,1462.08,-0.125,-0.0117188,4.625,1,0,0,1445.38,6.06833,242.232,0,8.01475
4936050,1.9986,0.421205,1.9986,10.185,-13.9213,-12.9762,-0.532,1.42212,-1.029,32.9397,-106.911,1365.39,18,1,41.11,864.2,1462.08,-0.125,-0.0117188,4.625,1,0,0,1445.38,6.06833,242.232,0,8.01475
4936060,1.9986,0.421205,1.9986,10.185,-13.9213,-12.9762,-0.532,1.42212,-1.029,32.9397,-106.911,1365.39,18,1,41.11,864.2,1462.08,-0.125,-0.0117188,4.625,1,0,0,1445.38,6.06833,242.232,0,8.01475
4936070,-1.15705,0.115473,1.9986,12.04,5.635,4.0425,-0.53578,1.42492,-1.07548,32.9397,-106.911,1365.39,18,1,41.11,862.5,1480.18,-0.400391,-0.121094,13.3965,2,0,0,1445.38,6.06833,242.232,0,8.01475
4936080,-1.15705,0.115473,1.9986,12.04,5.635,4.0425,-0.53578,1.42492,-1.07548,32.9397,-106.911,1365.39,18,1,41.11,862.5,1480.18,-0.400391,-0.121094,13.3965,2,0,0,1445.38,6.06833,242.232,0,8.01475
4936090,-1.02822,-1.44924,1.9986,-11.5938,-18.515,33.4162,-0.53284,1.43654,-1.0318,32.9397,-106.911,1365.39,18,1,41.11,862.85,1476.45,-0.455078,0.550781,25.0723,2,0,0,1445.38,6.06833,242.232,0,7.95674
4936100,-1.02822,-1.44924,1.9986,-11.5938,-18.515,33.4162,-0.53284,1.43654,-1.0318,32.9397,-106.911,1365.39,18,1,41.11,862.85,1476.45,-0.455078,0.550781,25.0723,2,0,0,1445.38,6.06833,242.232,0,7.95674
4936110,-1.02822,-1.44924,1.9986,-11.5938,-18.515,33.4162,-0.53284,1.43654,-1.0318,32.9397,-106.911,1365.39,18,1,41.11,862.85,1476.45,-0.455078,0.550781,25.0723,2,0,0,1445.38,6.06833,242.232,0,7.95674
4936120,0.434503,1.38177,1.9986,4.69,12.1625,-8.72375,-0.54096,1.41652,-1.03768,32.9397,-106.911,1365.42,18,1,41.12,863.09,1473.94,-0.4375,0.884766,26.6777,2,0,0,1445.99,18.8185,266.118,1447.75,8.00508
4936130,0.434503,1.38177,1.9986,4.69,12.1625,-8.72375,-0.54096,1.41652,-1.03768,32.9397,-106.911,1365.42,18,1,41.12,863.09,1473.94,-0.4375,0.884766,26.6777,2,0,0,1445.99,18.8185,266.118,1447.75,8.00508
4936140,0.434503,1.38177,1.9986,4.69,12.1625,-8.72375,-0.54096,1.41652,-1.03768,32.9397,-106.911,1365.42,18,1,41.12,863.09,1473.94,-0.4375,0.884766,26.6777,2,0,0,1445.99,18.8185,266.118,1447.75,8.00508
4936150,0.237473,0.196176,1.9986,-5.1625,10.675,102.41,-0.53914,1.4217,-1.06148,32.9397,-106.911,1365.42,18,1,41.12,862.95,1475.43,-0.851562,0.667969,27.1641,2,0,0,1445.99,18.8185,266.118,1447.75,7.99541
4936160,0.237473,0.196176,1.9986,-5.1625,10.675,102.41,-0.53914,1.4217,-1.06148,32.9397,-106.911,1365.42,18,1,41.12,862.95,1475.43,-0.851562,0.667969,27.1641,2,0,0,1445.99,18.8185,266.118,1447.75,7.99541
4936170,0.484584,-0.600972,1.9986,-4.92625,18.3225,69.5275,-0.5397,1.41946,-1.0332,32.9397,-106.911,1365.42,18,1,41.12,863.25,1472.24,-0.519531,0.505859,27.2559,2,0,0,1447.27,32.1936,267.607,1465.9,8.00508
4936180,0.484584,-0.600972,1.9986,-4.92625,18.3225,69.5275,-0.5397,1.41946,-1.0332,32.9397,-106.911,1365.42,18,1,41.12,863.25,1472.24,-0.519531,0.505859,27.2559,2,0,0,1447.27,32.1936,267.607,1465.9,8.00508
4936190,0.484584,-0.600972,1.9986,-4.92625,18.3225,69.5275,-0.5397,1.41946,-1.0332,32.9397,-106.911,1365.42,18,1,41.12,863.25,1472.24,-0.519531,0.505859,27.2559,2,0,0,1447.27,32.1936,267.607,1465.9,8.00508
4936200,-0.546255,0.503372,1.9986,5.005,2.91375,-5.6525,-0.5376,1.41428,-1.05924,32.9397,-106.911,1365.42,18,1,41.13,863.17,1473.14,-0.464844,0.291016,27.2812,2,0,0,1447.27,32.1936,267.607,1465.9,8.00508
4936210,-0.546255,0.503372,1.9986,5.005,2.91375,-5.6525,-0.5376,1.41428,-1.05924,32.9397,-106.911,1365.42,18,1,41.13,863.17,1473.14,-0.464844,0.291016,27.2812,2,0,0,1447.27,32.1936,267.607,1465.9,8.00508
4936220,0.652456,-0.273829,1.9986,-5.66125,3.78,-2.21375,-0.5313,1.55932,-1.05798,32.9397,-106.911,1365.42,18,1,41.12,862.98,1475.11,-0.585938,0.265625,27.3027,2,0,0,1449.22,45.7116,271.328,1503.02,7.99541
4936230,0.652456,-0.273829,1.9986,-5.66125,3.78,-2.21375,-0.5313,1.55932,-1.05798,32.9397,-106.911,1365.42,18,1,41.12,862.98,1475.11,-0.585938,0.265625,27.3027,2,0,0,1449.22,45.7116,271.328,1503.02,7.99541
4936240,0.652456,-0.273829,1.9986,-5.66125,3.78,-2.21375,-0.5313,1.55932,-1.05798,32.9397,-106.911,1365.42,18,1,41.12,862.98,1475.11,-0.585938,0.265625,27.3027,2,0,0,1449.22,45.7116,271.328,1503.02,7.99541
4936250,-0.102602,0.515145,1.9986,-6.2825,16.7125,3.9375,-0.50078,1.42212,-1.06876,32.9397,-106.911,1365.42,18,1,41.13,862.94,1475.59,-0.726562,0.490234,27.6641,2,0,0,1449.22,45.7116,271.328,1503.02,8.00508
4936260,-0.102602,0.515145,1.9986,-6.2825,16.7125,3.9375,-0.50078,1.42212,-1.06876,32.9397,-106.911,1365.42,18,1,41.13,862.94,1475.59,-0.726562,0.490234,27.6641,2,0,0,1449.22,45.7116,271.328,1503.02,8.00508
4936270,-0.102602,0.515145,1.9986,-6.2825,16.7125,3.9375,-0.50078,1.42212,-1.06876,32.9397,-106.911,1365.42,18,1,41.13,862.94,1475.59,-0.726562,0.490234,27.6641,2,0,0,1449.22,45.7116,271.328,1503.02,8.00508
4936280,-0.259372,0.480436,1.9986,-6.79,12.5387,-4.76,-0.52556,1.51564,-1.06316,32.9397,-106.911,1365.42,18,1,41.07,862.55,1479.46,-0.726562,0.490234,27.6641,2,0,0,1449.22,45.7116,271.328,1503.02,8.00508
4936290,-0.259372,0.480436,1.9986,-6.79,12.5387,-4.76,-0.52556,1.51564,-1.06316,32.9397,-106.911,1365.42,18,1,41.07,862.55,1479.46,-0.726562,0.490234,27.6641,2,0,0,1449.22,45.7116,271.328,1503.02,8.00508
4936300,-0.259372,0.480436,1.9986,-6.79,12.5387,-4.76,-0.52556,1.51564,-1.06316,32.9397,-106.911,1365.42,18,1,41.07,862.55,1479.46,-0.726562,0.490234,27.6641,2,0,0,1449.22,45.7116,271.328,1503.02,8.00508
4936310,-0.259372,0.480436,1.9986,-6.79,12.5387,-4.76,-0.52556,1.51564,-1.06316,32.9397,-106.911,1365.42,18,1,41.07,862.55,1479.46,-0.726562,0.490234,27.6641,2,0,0,1449.22,45.7116,271.328,1503.02,8.00508
4936320,-0.259372,0.480436,1.9986,-6.79,12.5387,-4.76,-0.52556,1.51564,-1.06316,32.9397,-106.911,1365.42,18,1,41.07,862.55,1479.46,-0.537109,0.494141,27.7324,2,0,0,1451.86,59.3808,273.328,1559.09,8.00508
4936330,-0.259372,0.480436,1.9986,-6.79,12.5387,-4.76,-0.52556,1.51564,-1.06316,32.9397,-106.911,1365.42,18,1,41.07,862.55,1479.46,-0.537109,0.494141,27.7324,2,0,0,1451.86,59.3808,273.328,1559.09,8.00508
4936340,-0.190198,0.2074,1.9986,0.77,11.62,-10.9812,-0.5236,1.41428,-1.03432,32.9397,-106.911,1365.29,16,1,41.08,862.7,1477.91,-0.707031,0.535156,27.8652,2,0,0,1451.86,59.3808,273.328,1559.09,8.02441
