barometer_data.timeStamp_barometer,has_barometer_data,barometer_data.temperature,barometer_data.altitude,barometer_data.pressure
194853870,1,33.37,-112.56299999999999,1025.97
194856479,1,33.37,-112.389,1025.95
194859088,1,33.38,-112.917,1026.01
194861697,1,33.38,-115.45,1026.3
194864306,1,33.38,-114.839,1026.23
194866915,1,33.38,-111.60600000000001,1025.86
194869524,1,33.39,-110.823,1025.77
194872133,1,33.39,-109.861,1025.66
194874742,1,33.39,-110.035,1025.68
194877351,1,33.39,-106.275,1025.25
194879960,1,33.39,-109.42399999999999,1025.61
194882569,1,33.39,-109.073,1025.57
194885178,1,33.39,-106.713,1025.3
194887787,1,33.39,-107.413,1025.38
194890396,1,33.4,-106.804,1025.31
194894288,1,33.38,-102.335,1024.8
194896899,1,33.38,-104.522,1025.05
194899509,1,33.38,-102.161,1024.78
194902118,1,33.38,-99.2717,1024.45
194904795,1,33.38,-97.6974,1024.27
194907405,1,33.39,-95.8604,1024.06
194910014,1,33.39,-94.9846,1023.96
194912623,1,33.39,-93.2328,1023.76
194915232,1,33.39,-91.1304,1023.52
194917841,1,33.39,-90.2553,1023.42
194920450,1,33.39,-89.0275,1023.28
194923059,1,33.39,-85.697,1022.9
194925668,1,33.4,-84.5604,1022.77
194928277,1,33.4,-82.7186,1022.56
194930886,1,33.4,-78.9469,1022.13
194934820,1,33.38,-75.6077,1021.75
194937430,1,33.38,-72.0082,1021.34
194940039,1,33.38,-69.1987,1021.02
194942648,1,33.38,-64.4548,1020.48
194945257,1,33.39,-60.0618,1019.98
194947866,1,33.39,-55.6646,1019.48
194950475,1,33.39,-50.4733,1018.89
194953084,1,33.39,-42.3726,1017.97
194955693,1,33.39,-37.262,1017.39
194958302,1,33.39,-30.7369,1016.65
194960911,1,33.39,-22.9714,1015.77
194963520,1,33.4,-17.5857,1015.16
194966129,1,33.4,-11.8415,1014.51
194968738,1,33.4,-8.12748,1014.09
194971347,1,33.4,-5.38638,1013.78
194975316,1,33.38,-2.11205,1013.41
194977925,1,33.38,0.808183,1013.08
194980536,1,33.38,5.678059999999999,1012.53
194983145,1,33.39,12.8545,1011.72
194985754,1,33.39,22.344,1010.65
194988363,1,33.39,35.0411,1009.22
194990972,1,33.39,50.0704,1007.53
194993581,1,33.39,68.7809,1005.43
194996190,1,33.39,91.0169,1002.94
194998799,1,33.39,108.559,1000.98
195001408,1,33.39,122.455,999.43
195004017,1,33.4,136.828,997.83
195006626,1,33.4,148.07,996.58
195009294,1,33.4,148.07,996.58
195011904,1,33.4,134.132,998.13
195015850,1,33.38,111.961,1000.6
195018459,1,33.38,100.675,1001.86
195021068,1,33.38,93.9652,1002.61
195023677,1,33.38,88.0641,1003.27
195026286,1,33.39,79.4902,1004.23
195028895,1,33.39,70.7433,1005.21
195031504,1,33.39,81.2764,1004.03
195034113,1,33.39,104.887,1001.39
195036722,1,33.39,126.764,998.95
195039331,1,33.4,143.841,997.05
195041940,1,33.4,152.659,996.07
195044549,1,33.4,155.361,995.77
195047158,1,33.4,158.243,995.45
195049767,1,33.4,159.414,995.32
195052376,1,33.4,158.243,995.45
195056406,1,33.38,161.657,995.07
195059016,1,33.39,162.923,994.93
195061626,1,33.39,164.907,994.71
195064235,1,33.39,166.169,994.57
195066844,1,33.39,165.80900000000003,994.61
195069453,1,33.39,166.44,994.54
195072062,1,33.39,166.079,994.58
195074671,1,33.4,166.53599999999997,994.53
195077280,1,33.4,168.97099999999998,994.26
195079889,1,33.4,174.47400000000002,993.65
195082498,1,33.4,178.988,993.15
195085107,1,33.4,184.859,992.5
195087716,1,33.4,190.19099999999997,991.91
195090325,1,33.4,195.889,991.28
195092934,1,33.4,202.22400000000002,990.58
195096991,1,33.38,211.72099999999998,989.53
195099600,1,33.39,216.079,989.05
195102209,1,33.38,212.53599999999997,989.44
195104818,1,33.39,193.80200000000002,991.51
195107427,1,33.39,218.799,988.75
195110151,1,33.39,330.963,976.46
195112761,1,33.39,346.772,974.74
195115371,1,33.39,330.04400000000004,976.56
195117980,1,33.39,312.797,978.44
195120589,1,33.39,312.70599999999996,978.45
195123198,1,33.39,327.106,976.88
195125807,1,33.39,338.68,975.62
195128416,1,33.39,348.42900000000003,974.56
195131025,1,33.39,362.51800000000003,973.03
195133634,1,33.39,376.26,971.54
195137695,1,33.37,400.45,968.92
195140304,1,33.37,417.031,967.13
195142913,1,33.37,433.086,965.4
195145522,1,33.37,444.14599999999996,964.21
195148131,1,33.38,453.931,963.16
195150740,1,33.38,467.06800000000004,961.75
195153349,1,33.38,484.894,959.84
195155958,1,33.38,500.69699999999995,958.15
195158567,1,33.38,517.84,956.32
195161176,1,33.38,529.85,955.04
195163785,1,33.38,541.03,953.85
195166394,1,33.38,554.39,952.43
195169003,1,33.38,570.881,950.68
195171612,1,33.38,587.026,948.97
195174221,1,33.38,597.993,947.81
195178307,1,33.36,616.516,945.85
195180917,1,33.36,626.76,944.77
195183527,1,33.36,637.016,943.69
195186136,1,33.36,644.621,942.89
195188745,1,33.37,651.491,942.17
195191354,1,33.37,660.1560000000001,941.26
195193963,1,33.37,669.497,940.28
195196572,1,33.37,679.803,939.2
195199181,1,33.37,690.12,938.12
195201790,1,33.37,699.013,937.19
195204399,1,33.37,707.821,936.27
195207123,1,33.37,716.444,935.37
195209732,1,33.37,726.9960000000001,934.27
195212341,1,33.37,739.674,932.95
195214950,1,33.37,749.29,931.95
195218930,1,33.34,762.0210000000001,930.62
195221539,1,33.35,771.3969999999999,929.65
195224148,1,33.35,780.3710000000001,928.72
195226757,1,33.35,788.194,927.91
195229366,1,33.35,796.122,927.09
195231975,1,33.35,805.2180000000001,926.15
195234584,1,33.35,814.5160000000001,925.19
195237193,1,33.35,823.825,924.23
195239802,1,33.35,836.64,922.91
195242411,1,33.35,850.154,921.52
195245020,1,33.35,860.572,920.45
195247629,1,33.35,869.2460000000001,919.56
195250238,1,33.35,878.709,918.59
195252847,1,33.35,889.159,917.52
195255456,1,33.35,900.9910000000001,916.31
195259553,1,33.32,919.6110000000001,914.4
195262162,1,33.32,931.2860000000001,913.21
195264771,1,33.33,940.1569999999999,912.31
195267380,1,33.33,949.9889999999999,911.31
195269989,1,33.33,960.523,910.24
195272598,1,33.33,971.562,909.12
195275207,1,33.33,982.12,908.05
195277816,1,33.33,994.175,906.83
195280425,1,33.33,1003.87,905.85
195283034,1,33.33,1014.27,904.8
195285643,1,33.33,1025.07,903.71
195288252,1,33.33,1037.58,902.45
195290861,1,33.33,1050.61,901.14
195293470,1,33.33,1061.76,900.02
195296079,1,33.33,1071.53,899.04
195300171,1,33.31,1084.93,897.69
195302781,1,33.31,1096.32,896.55
195305391,1,33.31,1107.73,895.41
195308000,1,33.31,1119.65,894.22
195310742,1,33.31,1130.69,893.12
195313352,1,33.31,1140.03,892.19
195315961,1,33.31,1150.18,891.18
195318570,1,33.31,1161.25,890.08
195321179,1,33.32,1172.88,888.93
195323788,1,33.32,1183.68,887.86
195326397,1,33.32,1194.09,886.83
195329006,1,33.32,1203.49,885.9
195331615,1,33.32,1202.79,885.97
195334224,1,33.32,799.2360000000001,926.76
195336833,1,33.32,373.68300000000005,971.81
195340910,1,33.3,-101.346,1024.69
195343520,1,33.3,-317.613,1049.71
195346130,1,33.3,-541.206,1076.22
195348739,1,33.31,-698.446,1095.26
195351348,1,33.31,-796.137,1107.26
195353957,1,33.32,-807.571,1108.67
195356566,1,33.32,-810.159,1108.99
195359175,1,33.32,-810.078,1108.98
195361784,1,33.33,-767.153,1103.68
195364393,1,33.33,-770.077,1104.04
195367002,1,33.33,-775.191,1104.67
195369611,1,33.34,-762.628,1103.12
195372220,1,33.34,-733.89,1099.59
195374829,1,33.34,-733.972,1099.6
195377438,1,33.34,-723.1210000000001,1098.27
195381512,1,33.32,-678.554,1092.83
195384121,1,33.32,-653.169,1089.74
195386730,1,33.33,-631.03,1087.05
195389339,1,33.33,-624.596,1086.27
195391948,1,33.33,-600.794,1083.39
195394557,1,33.34,-575.867,1080.38
195397166,1,33.34,-533.609,1075.3
195399775,1,33.34,-502.789,1071.61
195402384,1,33.34,-479.75,1068.86
195404993,1,33.34,-450.764,1065.41
195407602,1,33.34,-426.325,1062.51
195410211,1,33.34,-410.616,1060.65
195412820,1,33.35,-364.267,1055.18
