rocketState_data.timeStamp_RS,has_rocketState_data,rocketState_data.rocketState0,rocketState_data.rocketState1,rocketState_data.rocketState2,rocketState_data.rocketState3
194849984,1,1,1,1,1
194853872,1,1,1,1,1
194856480,1,1,1,1,1
194859089,1,1,1,1,1
194861698,1,1,1,1,1
194864307,1,2,2,2,2
194866916,1,2,2,2,2
194869525,1,2,2,2,2
194872134,1,2,2,2,2
194874743,1,2,2,2,2
194877352,1,2,2,2,2
194879961,1,2,2,2,2
194882570,1,2,2,2,2
194885179,1,2,2,2,2
194887788,1,2,2,2,2
194890397,1,3,3,3,3
194894289,1,3,3,3,3
194894890,1,3,3,3,3
194897011,1,3,3,3,3
194899560,1,3,3,3,3
194902155,1,3,3,3,3
194904795,1,3,3,3,3
194905396,1,3,3,3,3
194907527,1,3,3,3,3
194910137,1,3,3,3,3
194912749,1,3,3,3,3
194915298,1,3,3,3,3
194917913,1,3,3,3,3
194920522,1,3,3,3,3
194923135,1,3,3,3,3
194925726,1,3,3,3,3
194928278,1,3,3,3,3
194930887,1,3,3,3,3
194934820,1,3,3,3,3
194935421,1,3,3,3,3
194937579,1,3,3,3,3
194940132,1,3,3,3,3
194942740,1,3,3,3,3
194945335,1,3,3,3,3
194947944,1,3,3,3,3
194950558,1,3,3,3,3
194953167,1,3,3,3,3
194955782,1,3,3,3,3
194958391,1,3,3,3,3
194961004,1,3,3,3,3
194963614,1,3,3,3,3
194966226,1,3,3,3,3
194968739,1,3,3,3,3
194971348,1,3,3,3,3
194975317,1,3,3,3,3
194977926,1,3,3,3,3
194978527,1,3,3,3,3
194980721,1,3,3,3,3
194983274,1,3,3,3,3
194985866,1,3,3,3,3
194988478,1,3,3,3,3
194990973,1,3,3,3,3
194993582,1,3,3,3,3
194996191,1,3,3,3,3
194998800,1,3,3,3,3
195001409,1,3,3,3,3
195004018,1,3,3,3,3
195007070,1,3,3,3,3
195009294,1,3,3,3,3
195009895,1,3,3,3,3
195012114,1,3,3,3,3
195016002,1,3,3,3,3
195018594,1,3,3,3,3
195021069,1,3,3,3,3
195023678,1,3,3,3,3
195026287,1,3,3,3,3
195028896,1,3,3,3,3
195031505,1,3,3,3,3
195034114,1,3,3,3,3
195036723,1,3,3,3,3
195039332,1,3,3,3,3
195041941,1,3,3,3,3
195044550,1,3,3,3,3
195047159,1,3,3,3,3
195049768,1,3,3,3,3
195052377,1,3,3,3,3
195056407,1,3,3,3,3
195059016,1,3,3,3,3
195059617,1,3,3,3,3
195061865,1,3,3,3,3
195064418,1,3,3,3,3
195067009,1,3,3,3,3
195069620,1,3,3,3,3
195072229,1,3,3,3,3
195074842,1,3,3,3,3
195077451,1,3,3,3,3
195080061,1,3,3,3,3
195082499,1,3,3,3,3
195085108,1,3,3,3,3
195087717,1,3,3,3,3
195090326,1,3,3,3,3
195092935,1,3,3,3,3
195096992,1,3,3,3,3
195099601,1,3,3,3,3
195102210,1,3,3,3,3
195104819,1,3,3,3,3
195107870,1,3,3,3,3
195110151,1,3,3,3,3
195110752,1,3,3,3,3
195113024,1,3,3,3,3
195115635,1,3,3,3,3
195118187,1,3,3,3,3
195120796,1,3,3,3,3
195123388,1,3,3,3,3
195125808,1,3,3,3,3
195128417,1,3,3,3,3
195131026,1,3,3,3,3
195133635,1,3,3,3,3
195137696,1,3,3,3,3
195140305,1,3,3,3,3
195142914,1,3,3,3,3
195145523,1,3,3,3,3
195148132,1,3,3,3,3
195150741,1,3,3,3,3
195153350,1,3,3,3,3
195155959,1,3,3,3,3
195158568,1,3,3,3,3
195161177,1,3,3,3,3
195163786,1,3,3,3,3
195166395,1,3,3,3,3
195169004,1,3,3,3,3
195171613,1,3,3,3,3
195174222,1,3,3,3,3
195178308,1,3,3,3,3
195180917,1,3,3,3,3
195181518,1,3,3,3,3
195183813,1,3,3,3,3
195186362,1,3,3,3,3
195188955,1,3,3,3,3
195191564,1,3,3,3,3
195194172,1,3,3,3,3
195196782,1,3,3,3,3
195199393,1,3,3,3,3
195202002,1,3,3,3,3
195205040,1,3,3,3,3
195207334,1,3,3,3,3
195209733,1,3,3,3,3
195212342,1,3,3,3,3
195214951,1,3,3,3,4
195218931,1,4,4,4,4
195221540,1,4,4,4,4
195224149,1,4,4,4,4
195226758,1,4,4,4,4
195229367,1,4,4,4,4
195231976,1,4,4,4,4
195234585,1,4,4,4,4
195237194,1,4,4,4,4
195239803,1,4,4,4,4
195242412,1,4,4,4,4
195245021,1,4,4,4,5
195247630,1,4,4,4,5
195250239,1,5,5,5,5
195252848,1,5,5,5,5
195255457,1,5,5,5,5
195259554,1,5,5,5,5
195262163,1,5,5,5,5
195264772,1,5,5,5,5
195267381,1,5,5,5,5
195269990,1,5,5,5,5
195272599,1,5,5,5,5
195275208,1,5,5,5,5
195277817,1,5,5,5,5
195280426,1,5,5,5,5
195283035,1,5,5,5,5
195285644,1,5,5,5,5
195288253,1,5,5,5,5
195290862,1,5,5,5,5
195293471,1,5,5,5,5
195296080,1,5,5,5,5
195300171,1,5,5,5,5
195300772,1,5,5,5,5
195303061,1,5,5,5,5
195305611,1,5,5,5,5
195308202,1,5,5,5,5
195310742,1,5,5,5,5
195311343,1,5,5,5,5
195313629,1,5,5,5,5
195316179,1,5,5,5,6
195318770,1,5,5,5,6
195321180,1,6,6,6,6
195323789,1,6,6,6,6
195326398,1,6,6,6,6
195329007,1,6,6,6,6
195331616,1,6,6,6,6
195334225,1,6,6,6,6
195336834,1,6,6,6,6
195340910,1,6,6,6,6
195341511,1,6,6,6,6
195343795,1,6,6,6,6
195346403,1,6,6,6,6
195348952,1,6,6,6,6
195351557,1,6,6,6,6
195354166,1,6,6,6,6
195356771,1,6,6,6,6
195359380,1,6,6,6,6
195361987,1,6,6,6,6
195364596,1,6,6,6,6
195367201,1,6,6,6,6
195369810,1,6,6,6,6
195372399,1,6,6,6,6
195375008,1,6,6,6,6
195377614,1,6,6,6,6
195381687,1,6,6,6,6
195384293,1,6,6,6,6
195386901,1,6,6,6,6
195389340,1,6,6,6,6
195391949,1,6,6,6,6
195394558,1,6,6,6,6
195397167,1,6,6,6,6
195399776,1,6,6,6,6
195402385,1,6,6,6,6
195404994,1,6,6,6,6
195407603,1,6,6,6,6
195410212,1,6,6,6,6
195412821,1,6,6,6,6
195415430,1,6,6,6,6
195418039,1,6,6,6,6
195422086,1,6,6,6,6
195424695,1,6,6,6,6
195427304,1,6,6,6,6
195429913,1,6,6,6,6
195432522,1,6,6,6,6
195435131,1,6,6,6,6
195437740,1,6,6,6,6
195440349,1,6,6,6,6
195442958,1,6,6,6,6
195445567,1,6,6,6,6
195448176,1,6,6,6,6
195450785,1,6,6,6,6
195453394,1,6,6,6,6
195456003,1,6,6,6,6
195458612,1,6,6,6,6
195462637,1,6,6,6,6
195465246,1,6,6,6,6
195468496,1,6,6,6,6
195469097,1,6,6,6,6
195471309,1,6,6,6,6
195473859,1,6,6,6,6
195476466,1,6,6,6,6
195479057,1,6,6,6,6
195481544,1,6,6,6,6
195484153,1,6,6,6,6
195486762,1,6,6,6,6
195490984,1,6,6,6,6
195493593,1,6,6,6,6
195496202,1,6,6,6,6
195498811,1,6,6,6,6
195503795,1,6,6,6,6
195504396,1,6,6,6,6
195506607,1,6,6,6,6
195509215,1,6,6,6,6
195511827,1,6,6,6,6
195514435,1,6,6,6,6
195517044,1,6,6,6,6
195519592,1,6,6,6,6
195522183,1,6,6,6,6
195524670,1,6,6,6,6
195527279,1,6,6,6,6
195529888,1,6,6,6,6
195532497,1,6,6,6,6
195535575,1,6,6,6,6
195537991,1,6,6,6,6
195540407,1,6,6,6,6
195544333,1,6,6,6,6
195546942,1,6,6,6,6
195549551,1,6,6,6,6
195552160,1,6,6,6,6
195554769,1,6,6,6,6
195557378,1,6,6,6,6
195559987,1,6,6,6,6
195562596,1,6,6,6,6
195565205,1,6,6,6,6
195567814,1,6,6,6,6
195570423,1,6,6,6,6
195573032,1,6,6,6,6
195575641,1,6,6,6,6
195578250,1,6,6,6,6
195580859,1,6,6,6,6
195584872,1,6,6,6,6
195587481,1,6,6,6,6
195590090,1,6,6,6,6
195592699,1,6,6,6,6
195595308,1,6,6,6,6
195597917,1,6,6,6,6
195600526,1,6,6,6,6
195603135,1,6,6,6,6
195605744,1,6,6,6,6
195608353,1,6,6,6,6
195610962,1,6,6,6,6
195613571,1,6,6,6,6
195616180,1,6,6,6,6
195618789,1,6,6,6,6
195621398,1,6,6,6,6
195625413,1,6,6,6,6
195626014,1,6,6,6,6
195628232,1,6,6,6,6
195630782,1,6,6,6,6
195633391,1,6,6,6,6
195635983,1,6,6,6,6
195638592,1,6,6,6,6
195641203,1,6,6,6,6
195643811,1,6,6,6,6
195646863,1,6,6,6,6
195648953,1,6,6,6,6
195649554,1,6,6,6,6
195651800,1,6,6,6,6
