highG_data.timeStamp_highG,has_highG_data,highG_data.ax,highG_data.ay,highG_data.az
194851860,1,0.0898438,0.101562,1.05273
194853961,1,0.0898438,0.101562,1.05273
194856570,1,0.0898438,0.0976562,1.0507799999999998
194859180,1,0.0898438,0.09179689999999999,1.09961
194861789,1,-0.300781,0.232422,9.191410000000001
194864398,1,-0.4375,-0.253906,12.0195
194867007,1,0.412109,-0.265625,13.1699
194869620,1,-0.9355469999999999,-0.13281199999999999,14.2422
194872228,1,-1.36523,0.107422,14.5391
194874842,1,-1.6914099999999999,-0.6054689999999999,14.8184
194877475,1,1.05859,0.185547,15.0742
194880066,1,2.1425799999999997,0.8769530000000001,15.0977
194882675,1,-1.12109,-0.71875,15.4141
194885287,1,-2.1621099999999998,-0.7851560000000001,15.5273
194887896,1,-0.320312,0.78125,15.5117
194892280,1,-0.925781,-0.988281,15.752
194894405,1,-0.6621090000000001,0.22656199999999999,15.7246
194897021,1,0.5371090000000001,1.36719,15.6719
194899630,1,0.720703,0.464844,15.7305
194902786,1,-0.474609,0.07226560000000001,15.8359
194905117,1,0.027343799999999998,1.11914,15.8105
194907536,1,0.480469,0.5371090000000001,15.8105
194910146,1,-0.205078,0.10546900000000001,15.9004
194912759,1,-0.08398439999999999,0.9160159999999999,15.8848
194915368,1,0.261719,-0.27929699999999996,15.9121
194918007,1,-0.0371094,0.123047,15.9297
194920592,1,-0.14843800000000001,0.742188,15.9219
194923206,1,0.230469,-0.123047,15.9355
194925814,1,0.027343799999999998,0.189453,15.9453
194928429,1,-0.09570310000000001,0.539062,15.9375
194932810,1,0.0390625,0.244141,15.9609
194934978,1,-0.11328099999999999,0.482422,15.9805
194937589,1,0.0410156,0.355469,15.9629
194940202,1,0.228516,0.167969,15.9531
194942812,1,-0.046875,0.417969,15.9746
194945424,1,0.08007810000000001,0.308594,15.9941
194948033,1,0.07226560000000001,0.320312,16.0391
194950647,1,-0.0644531,0.394531,16.0645
194953256,1,0.0253906,0.359375,16.0938
194955870,1,-0.0703125,0.339844,16.1406
194958504,1,-0.162109,0.347656,16.1602
194961092,1,-0.128906,0.37695300000000004,16.1621
194963701,1,-0.185547,0.287109,16.1797
194966315,1,-0.230469,0.291016,16.2012
194968923,1,-0.201172,0.34179699999999996,16.207
194973307,1,-0.222656,0.244141,16.1992
194975505,1,-0.21875,0.234375,16.1836
194978145,1,-0.25,0.207031,16.166
194980731,1,-0.304688,0.230469,16.1504
194983344,1,-0.34179699999999996,0.207031,16.1445
194985954,1,-0.390625,0.171875,16.1562
194988566,1,-0.443359,0.199219,16.166
194991175,1,-0.470703,0.173828,16.1738
194993788,1,-0.5214840000000001,0.123047,16.1777
194996397,1,-0.7304689999999999,0.0488281,16.1504
194999036,1,-0.7910159999999999,-0.07617189999999999,16.1367
195001619,1,-0.875,-0.21093800000000001,16.1426
195004233,1,-1.18555,-0.398438,16.1895
195007284,1,-1.22852,-0.40625,16.2051
195009707,1,-1.23633,-0.412109,16.2031
195013839,1,-1.21094,-0.46875,16.2207
195016072,1,-1.27148,-0.320312,16.1992
195018707,1,-1.2070299999999998,-0.222656,16.1641
195021295,1,-0.898438,-0.212891,16.084
195023904,1,-0.742188,-0.324219,16.0723
195026515,1,-0.5410159999999999,-0.410156,16.0586
195029124,1,-0.433594,-0.703125,16.0742
195031737,1,-0.5839840000000001,-0.820312,16.084
195034346,1,-0.748047,-0.6308590000000001,16.0664
195036959,1,-0.7753909999999999,-0.517578,16.041
