Time,LSM_IMU_mx,LSM_IMU_my,LSM_IMU_mz,LSM_IMU_gx,LSM_IMU_gy,LSM_IMU_gz,LSM_IMU_ax,LSM_IMU_ay,LSM_IMU_az,gps_lat,gps_long,gps_alt,STE_ALT,STE_VEL,STE_ACC,STE_APO,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,TEMP,barometer_alt,sign,FSM_state,RSSI,Voltage,frequency,flap_extension,pressure
2022-10-29--13-08-13-298,0,0,0,-3.375,-3.5,-2.125,0,0,0,41.48766,-89.50626,181285,-111.89503,0.19499,-0.00902,-111.98368,0.09375,0.09766,1.05859,33,-112.14475,NOSIGN,1,-70,8.0625,434,0,1025.9375
2022-10-29--13-08-13-408,0,0,0,-3.625,3,-7.375,0,0,0,41.48766,-89.50626,181254,-111.87153,0.20413,-0.02335,-111.95744,0.09375,0.09766,1.05078,33,-112.14475,NOSIGN,1,-70,8.0625,434,0,1025.9375
2022-10-29--13-08-13-508,0,0,0,-3.75,1.875,-3.5,0,0,0,41.48766,-89.50626,181254,-111.87153,0.20413,-0.02335,-111.95744,0.08594,0.09766,1.05078,33,-112.14475,NOSIGN,1,-70,8.0625,434,0,1025.9375
2022-10-29--13-08-13-599,0,0,0,-0.25,1.375,-17.5,0,0,0,41.48766,-89.50626,181254,-111.87153,0.20413,-0.02335,-111.95744,0.08594,0.10547,1.05859,33,-112.14475,NOSIGN,1,-70,8.0625,434,0,1025.9375
2022-10-29--13-08-13-679,0,0,0,-3.5,-0.375,-4.75,0,0,0,41.48766,-89.50626,181254,-111.87153,0.20413,-0.02335,-111.95744,0.08594,0.10938,1.05078,33,-112.14475,NOSIGN,1,-70,8.0625,434,0,1025.9375
2022-10-29--13-08-13-812,0,0,0,-3.625,2,-4.375,0,0,0,41.48766,-89.50626,181212,-111.85047,0.20802,0.08043,-111.93521,0.08984,0.125,1.05078,33,-112.14475,NOSIGN,1,-70,8,434,0,1025.9375
2022-10-29--13-08-13-911,0,0,0,-3.25,4.5,-13,0,0,0,41.48766,-89.50626,181212,-111.85047,0.20802,0.08043,-111.93521,0.07813,0.12109,1.05078,33,-112.14475,NOSIGN,1,-70,8,434,0,1025.9375
2022-10-29--13-08-14-8,0,0,0,-4.625,6.125,-0.25,0,0,0,41.48766,-89.50626,181212,-111.85047,0.20802,0.08043,-111.93521,0.08203,0.12109,1.05469,33,-111.59914,NOSIGN,1,-70,8,434,0,1025.875
2022-10-29--13-08-14-107,0,0,0,-3.875,1.5,-3.875,0,0,0,41.48766,-89.50626,181212,-111.85047,0.20802,0.08043,-111.93521,0.08984,0.12109,1.0625,33,-112.14475,NOSIGN,1,-70,8,434,0,1025.9375
2022-10-29--13-08-14-216,0,0,0,-3.75,5.5,-5.875,0,0,0,41.48766,-89.50626,181236,-111.58022,7.5485,113.27556,-107.87829,0.08984,0.10156,1.05078,33,-112.14475,NOSIGN,2,-58,8,434,0,1025.9375
2022-10-29--13-08-14-315,0,0,0,-3.75,1.875,-5.125,0,0,0,41.48766,-89.50626,181236,-111.58022,7.5485,113.27556,-107.87829,0.08594,0.09375,1.05469,33,-112.14475,NOSIGN,2,-58,8,434,0,1025.9375
2022-10-29--13-08-14-406,0,0,0,-0.875,0.5,-21.75,0,0,0,41.48766,-89.50626,181236,-111.58022,7.5485,113.27556,-107.87829,0.08984,0.10156,1.05078,33,-112.14475,NOSIGN,2,-58,8,434,0,1025.9375
2022-10-29--13-08-14-486,0,0,0,-5,-2.375,5.25,0,0,0,41.48766,-89.50626,181236,-111.58022,7.5485,113.27556,-107.87829,-0.4375,-0.25391,12.01953,33,-114.32691,NOSIGN,2,-58,8,434,0,1026.1875
2022-10-29--13-08-14-622,0,0,0,-4,2.125,-3.625,0,0,0,41.48766,-89.50626,181238,-95.42393,68.25832,145.57515,142.30238,-1.36328,0.10547,14.53906,33,-109.41631,NOSIGN,3,-46,8,434,0,1025.625
2022-10-29--13-08-14-721,0,0,0,-3.125,-4.625,-0.5,0,0,0,41.48766,-89.50626,181238,-95.42393,68.25832,145.57515,142.30238,2.14062,0.875,15.09766,33,-108.87053,NOSIGN,3,-46,8,434,0,1025.5625
2022-10-29--13-08-14-817,0,0,0,-3.625,-3.875,2.5,0,0,0,41.48766,-89.50626,181238,-95.42393,68.25832,145.57515,142.30238,-0.92578,-0.98828,15.75,33,-106.14108,NOSIGN,3,-46,8,434,0,1025.25
2022-10-29--13-08-14-922,0,0,0,-3.625,2.5,-5.625,0,0,0,41.48766,-89.50626,181238,-95.42393,68.25832,145.57515,142.30238,0.71875,0.46484,15.73047,33,-99.04064,NOSIGN,3,-46,8,434,0,1024.4375
2022-10-29--13-08-15-27,0,0,0,-4,0.375,-3.875,0,0,0,41.48767,-89.50626,181433,-58.66497,124.36773,146.94966,677.85822,-0.14844,0.74219,15.92187,33,-88.65295,NOSIGN,3,-50,8.0625,434,0,1023.25
2022-10-29--13-08-15-105,0,0,0,-3.625,1.5,-5,0,0,0,41.48767,-89.50626,181433,-58.66497,124.36773,146.94966,677.85822,-0.09375,0.53906,15.9375,33,-82.08607,NOSIGN,3,-50,8.0625,434,0,1022.5
2022-10-29--13-08-15-193,0,0,0,-2.25,2.5,-12.5,0,0,0,41.48767,-89.50626,181433,-58.66497,124.36773,146.94966,677.85822,-0.11328,0.48047,15.98047,33,-71.67868,NOSIGN,3,-50,8.0625,434,0,1021.3125
2022-10-29--13-08-15-273,0,0,0,-2.5,2.25,-14.625,0,0,0,41.48767,-89.50626,181433,-58.66497,124.36773,146.94966,677.85822,0.07813,0.30859,15.99219,33,-59.61288,NOSIGN,3,-50,8.0625,434,0,1019.9375
