#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d
6, 5581, 1,    -0.30, 3,   boost,   -0.98,  99130.00,  184.34,   -0.34,    0.00, 28.3, 4.06, 0.01, 4.03,   9.78,   0.75,  -0.42,   0.63,   0.69,   0.63,   0.85,   0.83,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.29, 3,   boost,   -0.00,  99128.00,  184.51,   -0.17,    0.00, 28.3, 4.06, 0.01, 4.03,   9.82,   0.83,  -0.50,   0.02,   0.75,   0.57,   0.84,   0.83,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.28, 3,   boost,    0.49,  99130.00,  184.34,   -0.34,    0.00, 28.3, 4.06, 0.01, 4.03,   9.85,   0.89,  -0.54,  -0.66,   0.45,   0.45,   0.85,   0.84,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.27, 3,   boost,   -0.49,  99129.00,  184.43,   -0.25,    0.00, 28.3, 4.06, 0.01, 4.03,   9.88,   0.95,  -0.50,  -0.35,   0.02,   0.20,   0.86,   0.83,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.26, 3,   boost,   -0.49,  99127.00,  184.59,   -0.08,    0.00, 28.3, 4.06, 0.01, 4.03,   9.90,   0.95,  -0.45,  -0.11,  -0.90,  -0.04,   0.84,   0.83,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.25, 3,   boost,   -0.00,  99130.00,  184.34,   -0.34,    0.00, 28.3, 4.06, 0.01, 4.03,   9.76,   0.91,  -0.25,  -0.05,  -1.32,  -0.22,   0.85,   0.83,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.24, 3,   boost,    0.49,  99125.00,  184.76,    0.08,    0.00, 28.3, 4.06, 0.01, 4.03,   9.77,   0.86,  -0.04,  -0.05,  -1.69,   0.02,   0.84,   0.84,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.23, 3,   boost,   -0.00,  99131.00,  184.26,   -0.42,    0.00, 28.3, 4.06, 0.01, 4.03,   9.85,   0.81,   0.05,  -0.17,  -1.69,   0.14,   0.84,   0.84,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.22, 3,   boost,   -0.49,  99131.00,  184.26,   -0.42,    0.00, 28.3, 4.06, 0.01, 4.03,   9.89,   0.86,   0.16,  -0.59,  -1.20,   0.14,   0.84,   0.84,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.21, 3,   boost,   -0.98,  99130.00,  184.34,   -0.34,    0.00, 28.3, 4.06, 0.01, 4.03,   9.84,   0.95,   0.24,  -0.66,  -1.20,   0.02,   0.85,   0.83,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.20, 3,   boost,   -0.00,  99129.00,  184.43,   -0.25,    0.02, 28.3, 4.06, 0.01, 4.03,   9.71,   0.98,   0.27,  -0.59,  -1.51,  -0.10,   0.85,   0.83,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.19, 3,   boost,   -0.98,  99134.00,  184.00,   -0.68,    0.05, 28.3, 4.06, 0.01, 4.03,  10.12,   0.87,   0.20,  -0.41,  -1.51,  -0.53,   0.85,   0.83,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.18, 3,   boost,    7.35,  99129.00,  184.43,   -0.25,    0.12, 28.3, 4.06, 0.01, 4.03,   9.93,   2.34,  -1.07,   2.09,  -1.32,  -0.59,   0.84,   0.84,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.17, 3,   boost,   18.63,  99107.00,  186.29,    1.61,    0.25, 28.3, 4.06, 0.01, 4.03,  18.54,   3.03,   0.94,  -3.10,  -0.96,  -0.22,   0.85,   0.83,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.16, 3,   boost,   22.56,  99138.00,  183.66,   -1.02,    0.43, 28.3, 4.06, 0.01, 4.03,  31.89,   0.79,   0.22, -14.51,  -2.24,   1.24,   0.85,   0.84,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.15, 3,   boost,   29.42,  99134.00,  184.00,   -0.68,    0.66, 28.3, 4.06, 0.01, 4.03,  31.10,   0.44,   0.74, -43.87,   4.60,  -1.02,   0.85,   0.84,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.14, 3,   boost,   29.42,  99130.00,  184.34,   -0.34,    0.93, 28.3, 4.06, 0.01, 4.03,  38.80,   3.83,   2.43, -63.04,   2.46,  -2.48,   0.85,   0.84,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.13, 3,   boost,   32.36,  99131.00,  184.26,   -0.42,    1.23, 28.3, 4.06, 0.01, 4.03,  39.12,   2.77,   0.34, -81.96,   1.30,   3.93,   0.85,   0.83,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.12, 3,   boost,   33.34,  99127.00,  184.59,   -0.08,    1.55, 28.3, 4.06, 0.01, 4.03,  41.37,   1.00,   0.05, -79.88,   6.06,   2.04,   0.86,   0.83,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.11, 3,   boost,   34.81,  99129.00,  184.43,   -0.25,    1.88, 28.3, 4.06, 0.01, 4.03,  43.68,   2.34,  -0.65, -80.00,   6.92,  -6.33,   0.87,   0.82,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.10, 3,   boost,   35.30,  99117.00,  185.44,    0.76,    2.22, 28.3, 4.06, 0.01, 4.03,  44.66,   1.50,  -0.55, -81.29,   7.96,  -5.96,   0.86,   0.83,   0.29,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.09, 3,   boost,   34.81,  99117.00,  185.44,    0.76,    2.57, 28.3, 4.06, 0.01, 4.03,  44.84,   0.23,  -0.58,-102.65,   8.02,  -9.81,   0.87,   0.84,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.08, 3,   boost,   36.77,  99117.00,  185.44,    0.76,    2.92, 28.3, 4.06, 0.01, 4.03,  45.20,   0.74,  -0.01,-134.02,   4.05,  -8.10,   0.85,   0.83,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.07, 3,   boost,   36.77,  99120.00,  185.19,    0.51,    3.28, 28.3, 4.06, 0.01, 4.03,  44.39,   0.55,   1.11,-148.49,   3.56,  -1.02,   0.87,   0.84,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.06, 3,   boost,   34.81,  99117.00,  185.44,    0.76,    3.63, 28.3, 4.06, 0.01, 4.03,  44.76,   0.19,  -1.94,-152.27,   5.09,   0.63,   0.87,   0.83,   0.28,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.05, 3,   boost,   33.34,  99122.00,  185.02,    0.34,    3.97, 28.3, 4.06, 0.01, 4.03,  43.73,   2.49,  -4.01,-141.90,   7.34,  -6.39,   0.88,   0.85,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.04, 3,   boost,   33.34,  99123.00,  184.93,    0.25,    4.31, 28.3, 4.06, 0.01, 4.03,  43.36,  -1.32,  -3.51,-140.74,   5.82,  -2.48,   0.88,   0.82,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.03, 3,   boost,   32.85,  99121.00,  185.10,    0.42,    4.63, 28.3, 4.06, 0.01, 4.03,  41.71,  -2.20,  -1.71,-151.97,   2.40,  -3.15,   0.88,   0.82,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.02, 3,   boost,   31.87,  99121.00,  185.10,    0.42,    4.95, 28.3, 4.06, 0.01, 4.03,  42.30,  -0.94,  -0.24,-169.30,   0.33,  -1.02,   0.88,   0.84,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,    -0.01, 3,   boost,   30.89,  99113.00,  185.78,    1.10,    5.27, 28.3, 4.06, 0.01, 4.03,  41.39,   0.00,  -0.24,-174.79,  -0.22,   0.63,   0.89,   0.83,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,     0.00, 3,   boost,   29.42,  99122.00,  185.02,    0.34,    5.57, 28.3, 4.06, 0.01, 4.03,  40.94,  -0.01,   0.97,-165.52,   1.73,   0.33,   0.89,   0.83,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,     0.00, 3,   boost,   29.42,  99122.00,  185.02,    0.34,    5.57, 28.3, 4.06, 0.01, 4.03,  40.94,  -0.01,   0.97,-165.52,   1.73,   0.33,   0.89,   0.83,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
6, 5581, 1,     0.00, 3,   boost,   29.42,  99122.00,  185.02,    0.34,    5.57, 28.3, 4.06, 0.01, 4.03,  40.94,  -0.01,   0.97,-165.52,   1.73,   0.33,   0.89,   0.83,   0.27,   4.45, 4.02, 4.04, 0.00, 0.00, 0.00
