#version,serial,flight,time,state,state_name,acceleration,pressure,altitude,height,speed,temperature,drogue_voltage,main_voltage,battery_voltage,accel_x,accel_y,accel_z,gyro_roll,gyro_pitch,gyro_yaw,mag_x,mag_y,mag_z,tilt,pyro,igniter_a,igniter_b,igniter_c,igniter_d
6, 5581, 2,    -0.30, 3,   boost,   -0.98,  86356.00, 1328.00,    0.28,    0.00, 40.3, 4.18, 4.13, 4.15,   9.58,  -0.54,  -0.91,  -0.06,   0.18,   0.09,   0.44,   0.39,  -0.44,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.29, 3,   boost,   -0.00,  86355.00, 1328.10,    0.38,    0.00, 40.3, 4.18, 4.13, 4.15,   9.82,  -0.65,  -0.72,  -0.25,   0.18,  -0.16,   0.45,   0.38,  -0.43,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.28, 3,   boost,   -0.98,  86361.00, 1327.53,   -0.19,    0.00, 40.3, 4.18, 4.13, 4.15,   9.77,  -0.56,  -0.98,  -0.19,   0.36,   0.02,   0.44,   0.38,  -0.44,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.27, 3,   boost,    0.49,  86360.00, 1327.62,   -0.09,    0.00, 40.3, 4.18, 4.13, 4.15,   9.66,  -0.62,  -1.16,   0.06,   0.18,   0.15,   0.44,   0.39,  -0.43,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.26, 3,   boost,   -0.49,  86363.00, 1327.34,   -0.38,    0.00, 40.3, 4.18, 4.13, 4.15,   9.73,  -0.54,   2.81,  -0.06,   0.12,   0.21,   0.44,   0.39,  -0.43,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.25, 3,   boost,   -0.49,  86357.00, 1327.91,    0.19,    0.00, 40.3, 4.18, 4.13, 4.15,   9.56,  -0.63,   2.85,   0.73,  -0.00,  -0.10,   0.44,   0.39,  -0.43,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.24, 3,   boost,   -0.49,  86359.00, 1327.72,    0.00,    0.00, 40.3, 4.18, 4.13, 4.15,   9.63,  -0.34,   2.20,   0.91,   0.55,   0.51,   0.44,   0.38,  -0.44,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.23, 3,   boost,   -0.49,  86363.00, 1327.34,   -0.38,    0.00, 40.3, 4.18, 4.13, 4.15,   9.92,  -0.65,  -1.05,   0.48,   0.18,  -0.04,   0.45,   0.39,  -0.43,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.22, 3,   boost,   -0.49,  86360.00, 1327.62,   -0.09,    0.00, 40.3, 4.18, 4.13, 4.15,   9.51,  -0.45,  -1.09,   0.91,  -0.00,   0.15,   0.44,   0.39,  -0.44,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.21, 3,   boost,   -0.00,  86358.00, 1327.81,    0.09,    0.00, 40.3, 4.18, 4.13, 4.15,  10.12,  -0.61,  -1.46,   1.58,   0.73,  -0.10,   0.44,   0.39,  -0.43,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.20, 3,   boost,   -0.49,  86358.00, 1327.81,    0.09,    0.00, 40.3, 4.18, 4.13, 4.15,   9.80,  -0.64,  -1.49,   0.42,  -0.12,   0.21,   0.43,   0.40,  -0.45,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.19, 3,   boost,   -0.00,  86362.00, 1327.43,   -0.28,    0.00, 40.3, 4.18, 4.13, 4.15,   9.56,  -0.72,  -1.05,   0.12,  -0.06,  -0.40,   0.45,   0.38,  -0.44,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
6, 5581, 2,    -0.18, 3,   boost,   -0.49,  86357.00, 1327.91,    0.19,    0.00, 40.3, 4.18, 4.13, 4.15,   9.80,   0.10,  -0.70,   0.06,  -0.55,   0.33,   0.44,   0.39,  -0.43,   6.30, 4.13, 0.00, 0.01, 0.00, 0.00
