Time	Altitude	Temp.	Voltage
0.00	0	59.5F	9.5
0.05	2	59.5F	9.5
0.10	1	59.5F	9.5
0.15	2	59.5F	9.5
0.20	3	59.5F	9.5
0.25	0	59.5F	9.5
0.30	6	59.5F	9.5
0.35	4	59.5F	9.5
0.40	6	59.5F	9.5
0.45	2	59.6F	9.5
0.50	9	59.5F	9.5
0.55	12	59.5F	9.5
0.60	15	59.5F	9.5
0.65	19	59.5F	9.5
0.70	24	59.6F	9.5
0.75	32	59.6F	9.5
0.80	39	59.6F	9.5
0.85	49	59.6F	9.5
0.90	56	59.6F	9.5
0.95	64	59.6F	9.5
1.00	70	59.6F	9.5
1.05	83	59.6F	9.5
1.10	91	59.6F	9.5
1.15	103	59.6F	9.5
1.20	115	59.6F	9.5
1.25	124	59.6F	9.5
1.30	140	59.6F	9.5
1.35	154	59.6F	9.5
1.40	169	59.6F	9.5
1.45	184	59.6F	9.5
1.50	198	59.6F	9.5
1.55	214	59.6F	9.5
1.60	230	59.6F	9.5
1.65	248	59.6F	9.5
1.70	267	59.6F	9.5
1.75	285	59.6F	9.5
1.80	303	59.6F	9.5
1.85	320	59.6F	9.5
1.90	342	59.6F	9.5
1.95	365	59.5F	9.5
2.00	386	59.6F	9.5
2.05	403	59.5F	9.5
2.10	425	59.6F	9.5
2.15	439	59.6F	9.5
2.20	344	59.6F	9.5
2.25	365	59.6F	9.5
2.30	383	59.6F	9.5
2.35	407	59.6F	9.5
2.40	386	59.8F	9.5
2.45	448	60.1F	9.5
2.50	40	60.9F	9.6
2.55	477	62.1F	9.8
2.60	570	63.0F	9.8
2.65	542	64.2F	9.9
2.70	513	65.1F	9.9
2.75	517	66.0F	9.9
2.80	485	66.7F	9.9
2.85	500	67.2F	9.9
2.90	533	67.6F	9.9
2.95	569	67.9F	9.9
3.00	545	68.1F	9.9
3.05	582	68.3F	9.9
3.10	588	68.4F	9.9
3.15	609	68.5F	9.9
3.20	634	68.5F	9.9
3.25	629	68.5F	9.9
3.30	661	68.5F	9.9
3.35	670	68.5F	9.9
3.40	689	68.5F	9.9
3.45	719	68.4F	9.9
3.50	724	68.4F	9.9
3.55	719	68.3F	9.9
3.60	745	68.2F	9.9
3.65	760	68.2F	9.9
3.70	771	68.1F	9.9
3.75	791	68.0F	9.9
3.80	799	67.9F	9.9
3.85	822	67.8F	9.9
3.90	829	67.7F	9.9
3.95	831	67.6F	9.9
4.00	859	67.5F	9.8
4.05	880	67.4F	9.8
4.10	883	67.3F	9.8
4.15	903	67.2F	9.8
4.20	916	67.1F	9.8
4.25	935	67.0F	9.8
4.30	948	66.9F	9.8
4.35	950	66.8F	9.8
4.40	947	66.7F	9.8
4.45	975	66.6F	9.8
4.50	988	66.5F	9.8
4.55	991	66.5F	9.8
4.60	1001	66.4F	9.8
4.65	1014	66.3F	9.7
4.70	1025	66.2F	9.7
4.75	1038	66.2F	9.7
4.80	1052	66.1F	9.7
4.85	1064	66.0F	9.7
4.90	1066	65.9F	9.7
4.95	1083	65.9F	9.7
5.00	1085	65.8F	9.7
5.05	1101	65.7F	9.7
5.10	1113	65.7F	9.7
5.15	1125	65.6F	9.7
5.20	1129	65.6F	9.7
5.25	1141	65.5F	9.7
5.30	1152	65.5F	9.7
5.35	1166	65.4F	9.7
5.40	1166	65.4F	9.7
5.45	1178	65.3F	9.7
