Time,gps_lat,gps_long,gps_alt,TEMP,KX_IMU_ax,KX_IMU_ay,KX_IMU_az,STE_ALT,STE_VEL,STE_ACC,STE_APO,BNO_YAW,BNO_PITCH,BNO_ROLL,IMU_gx,IMU_gy,IMU_gz,IMU_mx,IMU_my,IMU_mz,FSM_state,sign,RSSI,Voltage,frequency,flap_extension,pressure,Continuity1,Continuity2,Continuity3,Continuity4,TelemLatency,Pyro1,Pyro2,Pyro3,Pyro4,Pyro1Firing,Pyro2Firing,Pyro3Firing,Pyro4Firing,is_booster,sense_pyro
2024-3-23--13-41-38-830,0,0,0,16.71875,1.02734,0.00391,-0.04687,,,,,0,0,0,1.5,-2.5,-0.625,-0.85388,1.25854,-2.10767,0,KD9ZMJ,-100,8.0625,,,0,0,5.54687,0.70312,0,508,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-38-896,0,0,0,16.71875,1.02344,0.01953,-0.03125,,,,,0,0,0,1.5,-2.5,-0.625,-0.85388,1.25854,-2.10767,0,KD9ZMJ,-100,8.0625,,,1002.25,0,5.54687,0.70312,0,508,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-38-958,0,0,0,16.71875,1.03125,0.00391,-0.03516,,,,,0,0,0,1.5,-2.5,-0.625,-0.85388,1.25854,-2.10767,0,KD9ZMJ,-100,8.0625,,,1002.25,0,5.54687,0.70312,0,508,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-39-153,0,0,100,16.85938,1.03516,0.04297,-0.05859,,,,,1.54736,1.24292,-1.24341,1.125,-2.625,-0.625,-0.84863,1.26086,-2.1134,0,KD9ZMJ,-102,8.3125,,,1002.3125,0,5.46875,0.78125,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-39-220,0,0,100,16.85938,1.02734,-0.00391,-0.04297,,,,,1.54736,1.24292,-1.24341,1.125,-2.625,-0.625,-0.84863,1.26086,-2.1134,0,KD9ZMJ,-102,8.3125,,,1002.3125,0,5.46875,0.78125,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-39-25,0,0,0,16.71875,1.03125,0.01172,-0.02734,,,,,0,0,0,1.5,-2.5,-0.625,-0.85388,1.25854,-2.10767,0,KD9ZMJ,-100,8.0625,,,1002.1875,0,5.54687,0.70312,0,508,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-39-285,0,0,100,16.85938,1.02344,-0.00781,-0.07422,,,,,1.54736,1.24292,-1.24341,1.125,-2.625,-0.625,-0.84863,1.26086,-2.1134,0,KD9ZMJ,-102,8.3125,,,1002.25,0,5.46875,0.78125,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-39-350,0,0,100,16.91797,1.04688,0.00391,-0.01953,,,,,1.54736,1.24292,-1.24341,1.25,-2.25,-0.75,-0.85498,1.25354,-2.11084,0,KD9ZMJ,-101,8.1875,,,1002.375,0,5.3125,0.78125,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-39-413,0,0,100,16.91797,1.04297,-0.00391,-0.03906,,,,,1.54736,1.24292,-1.24341,1.25,-2.25,-0.75,-0.85498,1.25354,-2.11084,0,KD9ZMJ,-101,8.1875,,,1002.3125,0,5.3125,0.78125,0,260,0,0,0,0,0,0,0,0,0,0
2024-3-23--13-41-39-478,0,0,100,16.91797,1.03516,0.02734,-0.04297,,,,,1.54736,1.24292,-1.24341,1.25,-2.25,-0.75,-0.85498,1.25354,-2.11084,0,KD9ZMJ,-101,8.1875,,,1002.375,0,5.3125,0.78125,0,260,0,0,0,0,0,0,0,0,0,0
